Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57361474,Local Woman Missing,Mary Kubica,"Kubica, Mary",,"=""077831166X""","=""9780778311669""",5,4.12,Park Row,Paperback,356,2021,2021,2024/02/18,2024/02/13,"otk-on-the-kindle, loved","otk-on-the-kindle (#14), loved (#6)",read,On the edge of my seat the entire time I wish I could read it all over again ,,,1,0
62976325,Delicate Condition,Danielle Valentine,"Valentine, Danielle",,"=""1728276888""","=""9781728276885""",4,3.64,Sourcebooks Landmark,Hardcover,432,2023,2023,2024/02/14,2024/01/28,otk-on-the-kindle,otk-on-the-kindle (#10),read,,,,1,0
7905092,Freedom,Jonathan Franzen,"Franzen, Jonathan",,"=""0374158460""","=""9780374158460""",0,3.79,"Farrar, Straus and Giroux",Hardcover,562,2010,2010,,2024/02/13,"to-read, otk-on-the-kindle","to-read (#26), otk-on-the-kindle (#18)",to-read,,,,0,0
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",0,4.38,Atria Books,Hardcover,337,2014,2012,,2024/02/13,"to-read, otk-on-the-kindle","to-read (#25), otk-on-the-kindle (#17)",to-read,,,,0,0
16241160,Capital,John Lanchester,"Lanchester, John",,"=""0393345092""","=""9780393345094""",0,3.71,W. W. Norton & Company,Paperback,528,2013,2012,,2024/02/13,"to-read, otk-on-the-kindle","to-read (#24), otk-on-the-kindle (#15)",to-read,,,,0,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",0,3.81,Crown,Hardcover,273,2019,2018,,2023/12/02,"to-read, otk-on-the-kindle","to-read (#6), otk-on-the-kindle (#13)",to-read,,,,0,0
56238004,The Good Lie,A.R. Torre,"Torre, A.R.",,"=""1542020174""","=""9781542020176""",3,4.10,Thomas & Mercer,Kindle Edition,257,2021,2021,2024/02/13,2024/01/27,otk-on-the-kindle,otk-on-the-kindle (#2),read,,,,1,0
65212029,Nestlings,Nat Cassidy,"Cassidy, Nat",,"=""1250265258""","=""9781250265258""",4,3.79,Tor Nightfire,Paperback,293,2023,2023,2024/02/08,2024/01/28,otk-on-the-kindle,otk-on-the-kindle (#8),read,,,,1,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",3,4.17,Celadon Books,Hardcover,336,2019,2019,2024/01/31,2024/01/28,otk-on-the-kindle,otk-on-the-kindle (#11),read,Didn’t like the twist at all,true,,1,0
36348525,Severance,Ling  Ma,"Ma, Ling",,"=""0374261598""","=""9780374261597""",4,3.88,"Farrar, Straus and Giroux",Hardcover,291,2018,2018,2024/01/14,2024/01/11,,,read,Gonna be cliche but it was Insane to read this post Covid but still a great book but like I mean how do u think ling ma felt when we were actually wearing n95 masks,,,1,0
28695606,FantasticLand,Mike Bockoven,"Bockoven, Mike",,"=""1510709444""","=""9781510709447""",0,3.84,Skyhorse Publishing,Hardcover,272,2016,2016,,2024/01/28,"to-read, otk-on-the-kindle","to-read (#22), otk-on-the-kindle (#9)",to-read,,,,0,0
2052,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,"Chandler, Raymond",,"=""0394758285""","=""9780394758282""",0,3.94,Vintage Crime,Paperback,231,1988,1939,,2024/01/17,"otk-on-the-kindle, did-not-finish, to-read","otk-on-the-kindle (#6), did-not-finish (#2), to-read (#21)",to-read,,,,1,0
123167523,The Snow Ghost and Other Tales: Classic Japanese Ghost Stories,Lafcadio Hearn,"Hearn, Lafcadio","Richard Gordon Smith, Yei Theodora Ozaki","=""1529912288""","=""9781529912289""",0,3.52,Vintage Digital,Kindle Edition,197,2023,2023,,2024/01/27,to-read,to-read (#20),to-read,,,,0,0
60965426,The Creative Act: A Way of Being,Rick Rubin,"Rubin, Rick",,"=""0593652886""","=""9780593652886""",0,3.96,Penguin Press,Hardcover,406,2023,2023,,2024/01/27,"to-read, otk-on-the-kindle","to-read (#19), otk-on-the-kindle (#7)",to-read,,,,0,0
50659468,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575583""","=""9781635575583""",0,4.64,Bloomsbury Publishing,Paperback,626,2020,2016,,2024/01/27,"otk-on-the-kindle, to-read","otk-on-the-kindle (#5), to-read (#18)",to-read,,,,0,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",0,4.16,Bloomsbury Publishing,Paperback,419,2020,2015,,2024/01/27,"to-read, otk-on-the-kindle","to-read (#17), otk-on-the-kindle (#4)",to-read,,,,0,0
11996,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline",Ros Schwartz,"=""0380731819""","=""9780380731817""",0,4.11,Avon Eos,Mass Market Paperback,208,1998,1995,,2024/01/27,to-read,to-read (#16),to-read,,,,0,0
63133205,The Woman in Me,Britney Spears,"Spears, Britney",,"=""1668009048""","=""9781668009048""",3,3.83,Gallery Books,Hardcover,288,2023,2023,2024/01/23,2024/01/17,,,read,Ug Britney I felt for her this entire book. It’s crazy that this actually happened like for real to her she’s such a treasure and an icon. The book itself was just juicy enough to keep me going and of course through the love of Britney I conquered but I wasn’t devouring this up like I wanted to ,,,1,0
17245,Dracula,Bram Stoker,"Stoker, Bram","David J. Skal, Rubén Toledo, Nina Auerbach","=""0393970124""","=""9780393970128""",0,4.02,Norton,Paperback,488,1986,1897,,2024/01/17,to-read,to-read (#15),to-read,,,,0,0
1934,"Little Women (Little Women, #1)",Louisa May Alcott,"Alcott, Louisa May","Regina Barreca, Grzegorz Komerski, Marta Fihel","=""""","=""""",0,4.17,Signet Classics,Mass Market Paperback,449,2004,1868,,2024/01/17,to-read,to-read (#14),to-read,,,,0,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",0,4.13,Random House: Modern Library,Paperback,272,2004,1890,,2024/01/17,to-read,to-read (#13),to-read,,,,0,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",0,4.16,Penguin,Paperback,532,2003,1847,,2024/01/17,to-read,to-read (#12),to-read,,,,0,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""1441341706""","=""9781441341709""",0,4.29,Modern Library,Paperback,279,2023,1813,,2024/01/17,to-read,to-read (#11),to-read,,,,0,0
59693959,Lapvona,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""""","=""""",0,3.53,Penguin Press,Kindle Edition,313,2022,2022,,2024/01/17,to-read,to-read (#9),to-read,,,,0,0
44279110,My Year of Rest and Relaxation,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""0525522131""","=""9780525522133""",0,3.60,Penguin Books,Paperback,289,2019,2018,,2024/01/17,to-read,to-read (#8),to-read,,,,0,0
5886881,Dark Places,Gillian Flynn,"Flynn, Gillian",,"=""0307341569""","=""9780307341563""",5,3.94,Shaye Areheart Books,Hardcover,424,2009,2009,2024/01/17,2024/01/17,loved,loved (#5),read,Really really loved this. My favorite of Flynn im honestly really sad it’s over ,,,1,0
53285047,"Bunny (Bunny, #1)",Mona Awad,"Awad, Mona",,"=""0525559752""","=""9780525559757""",3,3.46,Penguin Books,Paperback,305,2020,2019,2024/01/11,2024/01/08,,,read,"An insane story that has me wondering what is even real, very successful at disorienting me and making me feel drunk with story but overall it wasn’t my favorite. The twist made me cry tho ",,,1,0
89717,The Haunting of Hill House,Shirley Jackson,"Jackson, Shirley",Laura Miller,"=""0143039989""","=""9780143039983""",5,3.81,Penguin Classics,Paperback,182,2006,1959,2024/01/05,2024/01/08,loved,loved (#4),read,I think they should have let her stay,,,1,0
89724,We Have Always Lived in the Castle,Shirley Jackson,"Jackson, Shirley",Jonathan Lethem,"=""0143039970""","=""9780143039976""",5,3.91,Penguin Books,Paperback,152,2006,1962,2023/12/31,2023/12/31,loved,loved (#3),read,"Devoured this, read it as often as possible. I settled into the book as if I had been in the house with them the entire time. downloading every Shirley Jackson to my kindle asap.",,,1,0
62703226,The Only One Left,Riley Sager,"Sager, Riley",,"=""0593183223""","=""9780593183229""",4,4.13,Dutton,Hardcover,383,2023,2023,2023/11/25,2023/11/09,loved,loved (#2),read,I started this having doubts but it really scooped me right up quite quickly and I truly couldnt get enough. Even when it gets sliightly off the rails at the end.,,,1,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",3,4.39,Atria Books,Hardcover,389,2017,2017,2023/12/29,2023/11/09,,,read,its a great story why is there a needless plot twist in every booktok book. and to be clear i love plot twists. but its a really great story ,,,1,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",2,4.15,Vintage Books,Paperback,559,2004,1992,2023/12/02,2023/11/25,did-not-finish,did-not-finish (#1),read,I'm really like how did a woman write this,,,1,0
25568167,The One and Only: A Maryellen Classic (American Girl: Maryellen #1),Valerie Tripp,"Tripp, Valerie",Juliana Kolesova,"=""1609589610""","=""9781609589615""",0,4.01,American Girl,Paperback,217,2015,2015,,2023/11/18,to-read,to-read (#7),to-read,,,,0,0
21400742,Outline,Rachel Cusk,"Cusk, Rachel",,"=""0571233627""","=""9780571233625""",0,3.67,Faber & Faber,Hardcover,249,2014,2014,,2023/12/02,to-read,to-read (#5),to-read,,,,0,0
101124639,Bright Young Women,Jessica Knoll,"Knoll, Jessica",,"=""1501153226""","=""9781501153228""",0,3.99,S&S/ Marysue Rucci Books,Hardcover,384,2023,2023,,2023/11/25,to-read,to-read (#4),to-read,,,,0,0
51791252,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""0525536299""","=""9780525536291""",0,4.12,Riverhead Books,Hardcover,343,2020,2020,,2023/11/25,to-read,to-read (#3),to-read,,,,0,0
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""0307588378""","=""9780307588371""",5,4.15,Ballantine Books,Paperback,415,2014,2012,2023/11/18,2023/11/07,loved,loved (#1),read,"this book is really really good, very good, the movie was good but this was 50x better ",,,1,0
45300567,The Maidens,Alex Michaelides,"Michaelides, Alex",,"=""1250304458""","=""9781250304452""",0,3.62,Celadon Books,Hardcover,337,2021,2021,,2023/11/09,to-read,to-read (#2),to-read,,,,0,0
75495002,Happiness Falls,Angie  Kim,"Kim, Angie",,"=""0593448200""","=""9780593448205""",0,3.73,Hogarth,Hardcover,387,2023,2023,,2023/11/09,to-read,to-read (#1),to-read,,,,0,0
18045891,Sharp Objects,Gillian Flynn,"Flynn, Gillian",,"=""0297851535""","=""9780297851530""",5,4.01,Broadway Paperbacks,Paperback,254,2007,2006,,2023/11/07,,,read,Honestly riveting and if I didn’t get the ending spoiled by a misguided Google search I would have been shocked,,,1,0
61420120,Natural Beauty,Ling Ling Huang,"Huang, Ling Ling",,"=""0593472926""","=""9780593472927""",3,3.79,Dutton,Hardcover,272,2023,2023,,2023/11/07,,,read,This book could have been great for me but sadly it was just good,,,1,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""038549081X""","=""9780385490818""",4,4.15,Anchor Books,Paperback,311,1998,1985,,2023/11/07,,,read,,,,1,0
54860592,The Husbands,Chandler Baker,"Baker, Chandler",,"=""125031951X""","=""9781250319517""",3,3.47,Flatiron Books,Hardcover,346,2021,2021,,2023/11/07,,,read,Just a little too predictable for me,,,1,0
41723475,The Overdue Life of Amy Byler,Kelly Harms,"Harms, Kelly",,"=""1721358218""","=""9781721358212""",3,3.84,Brilliance Audio,MP3 CD,0,2019,2019,,2019/05/26,,,read,,,,1,0
13497818,The Casual Vacancy,J.K. Rowling,"Rowling, J.K.",,"=""0316228532""","=""9780316228534""",3,3.31,"Little, Brown and Company",Hardcover,503,2012,2012,2014/01/21,2013/08/26,,,read,,,,1,0
9838800,"Shelter (Mickey Bolitar, #1)",Harlan Coben,"Coben, Harlan",,"=""0399256504""","=""9780399256509""",3,3.95,Putnam Juvenile,Hardcover,304,2011,2011,2014/01/21,2013/08/26,,,read,,,,1,0
12700353,Me and Earl and the Dying Girl,Jesse Andrews,"Andrews, Jesse",,"=""1419701762""","=""9781419701764""",4,3.51,Harry N. Abrams,Hardcover,295,2012,2012,2014/01/21,2013/07/12,,,read,,,,1,0
6936382,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,"Perkins, Stephanie",,"=""0525423273""","=""9780525423270""",4,3.96,Dutton Juvenile,Hardcover,372,2010,2010,,2013/04/12,,,read,,,,1,0
9593911,"Pandemonium (Delirium, #2)",Lauren Oliver,"Oliver, Lauren",,"=""006197806X""","=""9780061978067""",3,4.02,HarperTeen,Hardcover,375,2012,2012,2013/09/07,2013/08/09,,,read,,,,1,0
11,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",0,4.22,Del Rey Books,Mass Market Paperback,216,2005,1979,2013/08/26,2013/06/15,,,read,,,,1,0
146274,Manhunt: The 12-Day Chase for Lincoln's Killer,James L. Swanson,"Swanson, James L.",,"=""0060518502""","=""9780060518509""",2,4.17,William Morrow Paperbacks,Paperback,444,2007,2006,2013/08/25,2013/08/10,,,read,,,,1,0
11387515,"Wonder (Wonder, #1)",R.J. Palacio,"Palacio, R.J.",,"=""0375869026""","=""9780375869020""",3,4.36,Alfred A. Knopf,Hardcover,315,2012,2012,,2013/08/20,,,read,,,,1,0
11614718,"Delirium (Delirium, #1)",Lauren Oliver,"Oliver, Lauren",,"=""0061726834""","=""9780061726835""",5,3.95,HarperCollins,Paperback,441,2012,2011,2013/08/09,2013/08/08,,,read,,,,1,0
10956,The Virgin Suicides,Jeffrey Eugenides,"Eugenides, Jeffrey",,"=""0747560595""","=""9780747560593""",5,3.78,Bloomsbury Paperbacks,Paperback,250,2002,1993,2013/08/07,2013/04/12,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439686520""","=""9780439686525""",5,4.50,Scholastic Inc.,Paperback,870,2004,2003,,2013/07/15,,,read,,,,1,0
1217100,Thirteen Reasons Why,Jay Asher,"Asher, Jay",,"=""1595141715""","=""9781595141712""",5,3.84,Razorbill,Hardcover,288,2007,2007,2013/07/15,2013/04/12,,,read,,,,1,0
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,"=""0786838655""","=""9780786838653""",3,4.31,Disney Hyperion Books,Paperback,377,2006,2005,2013/07/15,2013/07/12,,,read,,,,1,0
15745753,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow",,"=""1250012570""","=""9781250012579""",5,3.92,St. Martin's Press,Hardcover,328,2013,2012,,2013/04/12,,,read,,,,1,0
154655,"Behind the Curtain (Echo Falls, #2)",Peter Abrahams,"Abrahams, Peter",,"=""0060737069""","=""9780060737061""",3,3.90,HarperCollins,Paperback,400,2007,2006,,2013/06/20,,,read,,,,1,0
82860,"Down the Rabbit Hole (Echo Falls, #1)",Peter Abrahams,"Abrahams, Peter",,"=""0060737034""","=""9780060737030""",4,3.77,HarperCollins,Paperback,448,2006,2005,,2013/06/20,,,read,,,,1,0
39637,"Run (Fearless, #3)",Francine Pascal,"Pascal, Francine",,"=""067103748X""","=""9780671037482""",5,3.90,Pocket Childrens Books,Paperback,205,2000,1999,,2013/06/15,,,read,,,,1,0
1190477,"Sam (Fearless, #2)",Francine Pascal,"Pascal, Francine",,"=""0671037471""","=""9780671037475""",4,3.87,Pocket Childrens Books,Paperback,224,2000,1999,,2013/06/15,,,read,,,,1,0
282210,"Fearless (Fearless, #1)",Francine Pascal,"Pascal, Francine",,"=""0671039415""","=""9780671039417""",4,3.86,Simon & Schuster,Paperback,224,1999,1999,,2013/06/15,,,read,,,,1,0
11735983,"Insurgent (Divergent, #2)",Veronica Roth,"Roth, Veronica",,"=""0007442912""","=""9780007442911""",3,3.96,HarperCollins Children's Books,Hardcover,525,2012,2012,,2013/06/15,,,read,,,,1,0
6567017,"Will Grayson, Will Grayson",John Green,"Green, John",David Levithan,"=""0525421580""","=""9780525421580""",5,3.69,Dutton Books,Hardcover,320,2010,2010,,2013/06/15,,,read,,,,1,0
6101138,"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,"Mantel, Hilary",,"=""""","=""""",4,3.91,HarperCollins Publishers Ltd,Paperback,653,2010,2009,,2013/06/15,,,read,,,,1,0
8235178,"Across the Universe (Across the Universe, #1)",Beth Revis,"Revis, Beth",,"=""1595143971""","=""9781595143976""",4,3.77,Razorbill,Hardcover,399,2011,2011,,2013/04/12,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",4,3.80,Back Bay Books,Paperback,277,2001,1951,,2013/04/12,,,read,,,,1,0
2914097,Paper Towns,John Green,"Green, John",,"=""0525478183""","=""9780525478188""",4,3.70,Dutton Juvenile,Hardcover,305,2008,2008,,2013/04/12,,,read,,,,1,0
49750,An Abundance of Katherines,John Green,"Green, John",,"=""0525476881""","=""9780525476887""",4,3.51,Dutton Books for Young Readers,Hardcover,229,2006,2006,,2013/04/12,,,read,,,,1,0
13539044,The Silver Linings Playbook,Matthew Quick,"Quick, Matthew",,"=""0374533571""","=""9780374533571""",3,3.98,Sarah Crichton Books,Paperback,291,2012,2008,,2013/06/15,,,read,,,,1,0
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""0062024035""","=""9780062024039""",4,4.13,Katherine Tegen Books,Paperback,487,2012,2011,,2013/04/12,,,read,,,,1,0
3465100,Mostly Happy,Pam Bustin,"Bustin, Pam",,"=""1897235399""","=""9781897235393""",4,4.01,Thistledown Press,Paperback,275,2008,2008,,2013/06/15,,,read,,,,1,0
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",5,4.12,Dutton Books,Hardcover,313,2012,2012,,2013/04/12,,,read,"I am, of course, a very avid John Green fan. I believe he is not only one of the best YA writers, but also one of the best fiction writers in general, and while his books are technically listed under YA, they appeal to adults as well.  This book is John Green at his finest, you become so attached to the characters and the settings that you will laugh, and cry, and feel all of the emotions that the main characters at the same time that they are feeling them.  John does a great job of ending the book in a way that makes you think about everything that has happened and will happen in the future with the story which is nice because it lets you interpret what will happen after the book ends.  I have found myself still thinking about this book four months after I first read it, and ended up reading it again a second time because it has hit a soft spot somewhere inside me. <br/>I cannot say enough good things about this book, please go pick it up right now and read the entire thing.",,,1,0
301022,"The Boyfriend List: 15 Guys, 11 Shrink Appointments, 4 Ceramic Frogs and Me, Ruby Oliver (Ruby Oliver, #1)",E. Lockhart,"Lockhart, E.",,"=""0385732074""","=""9780385732079""",4,3.49,Random House Children's Books,Paperback,229,2006,2005,,2013/04/12,,,read,,,,1,0
452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,"Brashares, Ann",,"=""0385729332""","=""9780385729338""",2,3.85,Delacorte Press,Hardcover,294,2001,2001,,2013/04/12,,,read,,,,1,0
9165406,Okay for Now,Gary D. Schmidt,"Schmidt, Gary D.",,"=""0547152604""","=""9780547152608""",4,4.25,Clarion Books,Hardcover,360,2011,2011,,2013/04/12,,,read,,,,1,0
5805,V for Vendetta,Alan             Moore,"Moore, Alan","David   Lloyd, Steve Whitaker, Siobhan Dodds","=""1401207928""","=""9781401207922""",5,4.26,Vertigo,Hardcover,296,2005,1990,,2013/04/12,,,read,,,,1,0
6266785,"Misery Loves Cabernet (Charlize Edwards, #2)",Kim Gruenenfelder,"Gruenenfelder, Kim",,"=""0312348754""","=""9780312348755""",5,3.83,St. Martin's Griffin,Paperback,358,2009,2009,,2013/04/12,,,read,,,,1,0
1402668,The Gatecrasher,Madeleine Wickham,"Wickham, Madeleine",,"=""0312361270""","=""9780312361273""",3,3.31,Thomas Dunne Books,Hardcover,296,2007,1998,,2013/04/12,,,read,,,,1,0
28194,"Inkheart (Inkworld, #1)",Cornelia Funke,"Funke, Cornelia",Anthea Bell,"=""""","=""""",4,3.93,Scholastic Paperbacks,Paperback,563,2005,2003,,2013/04/12,,,read,,,,1,0
10798418,Why We Broke Up,Daniel Handler,"Handler, Daniel",Maira Kalman,"=""0316127256""","=""9780316127257""",2,3.47,"Little, Brown Books for Young Readers",Hardcover,354,2011,2011,,2013/04/12,,,read,,,,1,0
99561,Looking for Alaska,John Green,"Green, John",,"=""1435249151""","=""9781435249158""",5,3.96,Speak,Paperback,221,2006,2005,,2013/04/12,,,read,,,,1,0
6665671,Please Ignore Vera Dietz,A.S. King,"King, A.S.",,"=""0375865861""","=""9780375865862""",5,3.87,Alfred A. Knopf Books for Young Readers,Hardcover,327,2010,2010,,2013/04/12,,,read,,,,1,0
248704,It's Kind of a Funny Story,Ned Vizzini,"Vizzini, Ned",,"=""078685197X""","=""9780786851973""",3,4.07,Disney Hyperion,Paperback,444,2007,2006,,2013/04/12,,,read,,,,1,0
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""""","=""""",5,4.24,MTV Books/Pocket Books,Hardcover,213,1999,1999,,2013/04/12,,,read,,,,1,0
41865,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316015849""","=""9780316015844""",2,3.67,"Little, Brown and Company",Paperback,498,2006,2005,,2013/04/12,,,read,,,,1,0
10335308,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,"Kaling, Mindy",,"=""0307886263""","=""9780307886262""",4,3.86,Crown Archetype,Hardcover,222,2011,2011,,2013/04/12,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",5,4.35,Scholastic Press,Hardcover,374,2008,2008,,2013/04/12,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""0439554934""","=""9780439554930""",5,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2013/04/12,,,read,,,,1,0
7613,Animal Farm,George Orwell,"Orwell, George","Ann Patchett, Téa Obreht","=""""","=""""",4,4.02,Plume,Paperback,129,2003,1945,,2013/04/12,,,read,,,,1,0
